Place_Id,Place_Name,Description,Category,City,Price,Rating,Time_Minutes,Coordinate,Lat,Long,Unnamed: 11,Unnamed: 12,content_features
85,Taman Pintar Yogyakarta,"Taman Pintar Yogyakarta (bahasa Jawa: Hanacaraka,ꦠꦩꦤ꧀​ꦥꦶꦤ꧀ꦠꦂ​ꦔꦪꦺꦴꦒꦾꦏꦂꦠ, Taman Pintar Ngayogyakarta) adalah wahana wisata yang terdapat di pusat Kota Yogyakarta, tepatnya di Jalan Panembahan Senopati No. 1-3, Yogyakarta, di kawasan Benteng Vredeburg. Taman ini memadukan tempat wisata rekreasi maupun edukasi dalam satu lokasi. Taman Pintar memiliki arena bermain sekaligus sarana edukasi yang terbagi dalam beberapa zona. Akses langsung kepada pusat buku eks Shopping Centre juga menambah nilai lebih Taman Pintar. Tempat rekreasi ini sangat baik untuk anak-anak pada masa perkembangan.\nBeberapa tahun ini Taman Pintar menjadi alternatif tempat berwisata bagi masyarakat Yogyakarta maupun luar kota.Taman ini, khususnya pada wahana pendidikan anak usia dini dilengkapi dengan teknologi interaktif digital serta pemetaan video yang akan memacu imajinasi anak serta ketertarikan mereka terhadap teknologi. Pada saat ini ada 35 zona dan 3.500 alat peraga permainan yang edukatif.",Taman Hiburan,Yogyakarta,6000,4.5,120.0,"{'lat': -7.800671500000001, 'lng': 110.3676551}",-7.8006715,110.3676551,,85,taman pintar yogyakarta taman hibur taman pintar yogyakarta bahasa jawa hanacaraka taman pintar ngayogyakarta wahana wisata dapat pusat kota yogyakarta tepat jalan panembahan senopati no 1-3 yogyakarta kawasan benteng vredeburg taman madu tempat wisata rekreasi maupun edukasi satu lokasi taman pintar milik arena main sekaligus sarana edukasi beberapa zona akses langsung pusat buku eks shopping centre tambah nilai lebih taman pintar tempat rekreasi sangat baik anak masa kembang nbeberapa tahun taman pintar jadi alternatif tempat wisata bagi masyarakat yogyakarta maupun luar kota taman khusus wahana didik anak usia dini lengkap teknologi interaktif digital meta video akan pacu imajinasi anak tari hadap teknologi saat ada 35 zona 3 500 alat aga main edukatif
86,Keraton Yogyakarta,"Keraton Ngayogyakarta Hadiningrat atau Keraton Yogyakarta (bahasa Jawa: ꦏꦫꦠꦺꦴꦤ꧀​ꦔꦪꦺꦴꦒꦾꦏꦂꦠ​ꦲꦢꦶꦤꦶꦔꦿꦠ꧀, translit. Karaton Ngayogyakarta Hadiningrat) merupakan istana resmi Kesultanan Ngayogyakarta Hadiningrat yang kini berlokasi di Kota Yogyakarta. Keraton ini didirikan oleh Sri Sultan Hamengkubuwana I pada tahun 1755 sebagai Istana/Keraton Yogyakarta yang baru berdiri akibat perpecahan Mataram Islam dengan adanya Perjanjian Giyanti. Keraton ini adalah pecahan dari Keraton Surakarta Hadiningrat dari Kesunanan Surakarta (Kerajaan Surakarta). Sehingga dinasti Mataram diteruskan oleh 2 Kerajaan yakni Kesultanan Yogyakarta dan Kesunanan Surakarta. Total luas wilayah keseluruhan keraton yogyakarta mencapai 184 hektar, yakni meliputi seluruh area di dalam benteng Baluwarti, alun-alun Lor, alun-alun Kidul, gapura Gladak, dan kompleks Masjid Gedhe Yogyakarta. Sementara luas dari kedhaton (inti keraton) mencapai 13 hektar. Walaupun Kesultanan Yogyakarta secara resmi telah menjadi bagian Republik Indonesia pada tahun 1945, kompleks bangunan keraton ini masih berfungsi sebagai tempat tinggal sultan dan rumah tangga istananya yang masih menjalankan tradisi kesultanan hingga saat ini. Keraton ini kini juga merupakan salah satu objek wisata di Kota Yogyakarta. Sebagian kompleks keraton merupakan museum yang menyimpan berbagai koleksi milik kesultanan, termasuk berbagai pemberian dari raja-raja Eropa, replika pusaka keraton, dan gamelan. Dari segi bangunannya, keraton ini merupakan salah satu contoh arsitektur istana Jawa yang terbaik, memiliki balairung-balairung mewah dan lapangan serta paviliun yang luas.",Budaya,Yogyakarta,15000,4.6,,"{'lat': -7.8052845, 'lng': 110.3642031}",-7.8052845,110.3642031,,86,keraton yogyakarta budaya keraton ngayogyakarta hadiningrat keraton yogyakarta bahasa jawa translit karaton ngayogyakarta hadiningrat rupa istana resmi sultan ngayogyakarta hadiningrat kini lokasi kota yogyakarta keraton diri sri sultan hamengkubuwana i tahun 1755 bagai istana keraton yogyakarta baru diri akibat pecah mataram islam ada janji giyanti keraton adalah pecah keraton surakarta hadiningrat sunan surakarta raja surakarta dinasti mataram terus 2 raja sultan yogyakarta sunan surakarta total luas wilayah seluruh keraton yogyakarta capai 184 hektar liput seluruh area dalam benteng baluwarti alun lor alun kidul gapura gladak kompleks masjid gedhe yogyakarta luas kedhaton inti keraton capai 13 hektar walaupun sultan yogyakarta cara resmi jadi republik indonesia tahun 1945 kompleks bangun keraton masih fungsi bagai tempat tinggal sultan rumah tangga istana masih jalan tradisi sultan hingga keraton kini rupa salah satu objek wisata kota yogyakarta kompleks keraton rupa museum simpan bagai koleksi milik sultan masuk bagai beri raja eropa replika pusaka keraton gamelan segi bangun keraton ini rupa salah satu contoh arsitektur istana jawa baik milik balairung mewah lapang paviliun luas
87,Sindu Kusuma Edupark (SKE),"Sindu Kusuma Edupark (SKE) merupakan sebuah destinasi rekreasi yang terletak di Jogjakarta. Di tujuh hektar kawasan taman yang selesai dibangun tahun 2014 ini, terdapat bermacam-macam wahana, baik wahana bermain maupun wahana belajar yang bisa dinikmati oleh semua anggota keluarga. Wahana yang paling terkenal dari SKE adalah bianglalanya, yang merupakan sebuah wahana bermain sekaligus ikon SKE sendiri. Bila Singapore memiliki Flyer setinggi 165 meter, sementara Malaysia punya Eye setinggi 88 meter, dan di Thailand ada Asiatique setinggi 60 meter, Indonesia memiliki Cakra Manggilingan dengan tinggi 48 meter. Di tingkat Asia Tenggara, bianglala ini memang mesti berpuas diri duduk di peringkat keenam sebagai bianglala tertinggi, tetapi di tingkat nasional, ia duduk di peringkat pertama.",Taman Hiburan,Yogyakarta,20000,4.2,120.0,"{'lat': -7.767297300000001, 'lng': 110.3542486}",-7.7672973,110.3542486,,87,sindu kusuma edupark ske taman hibur sindu kusuma edupark ske rupa buah destinasi rekreasi letak jogjakarta tujuh hektar kawasan taman selesai bangun tahun 2014 dapat macam wahana baik wahana main maupun wahana ajar bisa nikmat semua anggota keluarga wahana paling kenal ske bianglala rupa buah wahana main sekaligus ikon ske sendiri bila singapore milik flyer setinggi 165 meter malaysia punya eye setinggi 88 meter thailand asiatique setinggi 60 meter indonesia milik cakra manggilingan tinggi 48 meter tingkat asia tenggara bianglala memang mesti puas diri duduk peringkat enam bagai bianglala tinggi di tingkat nasional duduk di peringkat pertama
88,Museum Benteng Vredeburg Yogyakarta,"Museum Benteng Vredeburg (bahasa Jawa: ꦩꦸꦱꦶꦪꦸꦩ꧀​ꦧꦺꦠꦺꦁ​ꦮ꦳ꦽꦢꦼꦧꦸꦂꦒ꧀, translit. Musiyum Bètèng Vredeburg adalah sebuah benteng yang terletak di depan Gedung Agung dan Kraton Kesultanan Yogyakarta. Sekarang, benteng ini menjadi sebuah museum. Di sejumlah bangunan di dalam benteng ini terdapat diorama mengenai sejarah Indonesia.",Budaya,Yogyakarta,3000,4.6,120.0,"{'lat': -7.800201599999999, 'lng': 110.3663044}",-7.8002016,110.3663044,,88,museum benteng vredeburg yogyakarta budaya museum benteng vredeburg bahasa jawa translit musiyum b t ng vredeburg buah benteng letak depan gedung agung kraton sultan yogyakarta sekarang benteng jadi buah museum jumlah bangun dalam benteng dapat diorama kena sejarah indonesia
89,De Mata Museum Jogja,"Museum De Mata merupakan salah satu museum yang berisi lukisan 3D terbanyak di dunia. Jumlah lukisannya sekitar 120 dan setiap lukisan memiliki konsep dengan latar belakang yang terlihat seperti nyata. Ada beberapa ukuran lukisan yang ada di Museum De Mata dari ukuran biasa sampai mencapai 5 meter. Ada beberapa macam kategori lukisannya yaitu ornament, lanscape, olahraga, tokoh-tokoh terkenal, superhero, sampai lukisan sirkus. Museum ini didirikan untuk masyarakat menghabiskan liburan dengan menambah pengetahuan. Museum ini menawarkan banyak lukisan-lukisan yang unik misalnya terdapat lukisan dimana anda dapat merasakan keseruan berjalan di atas jembatan kayu yang dibawahnya terdapat jurang yang curam Atau berjuang untuk memadamkan semburanapi panas ari mulut naga, lukisan tersebut tampak seolah-olah nyata. Semua itu terdapat di dalam museum De Mata dengan hasil efek yang menipu mata.",Budaya,Yogyakarta,50000,4.4,,"{'lat': -7.816315599999999, 'lng': 110.3871442}",-7.8163156,110.3871442,,89,de mata museum jogja budaya museum de mata rupa salah satu museum isi lukis 3d banyak dunia jumlah lukis 120 tiap lukis milik konsep latar belakang lihat nyata beberapa ukur lukis museum de mata ukur biasa capai 5 meter ada beberapa macam kategori lukis ornament lanscape olahraga tokoh kenal superhero lukis sirkus museum diri masyarakat habis libur tambah tahu museum tawar banyak lukis unik misal lukis mana rasa seru jalan atas jembatan kayu bawah dapat jurang curam juang madam semburanapi panas ari mulut naga lukis sebut tampak olah nyata semua dapat dalam museum de mata hasil efek tipu mata
90,Kampung Wisata Taman Sari,"Taman Sari Yogyakarta atau Taman Sari Keraton Yogyakarta (Hanacaraka:ꦠꦩꦤ꧀ꦱꦫꦶꦔꦪꦺꦴꦒꦾꦏꦂꦡ, Tamansari Ngayogyakarta) adalah situs bekas taman atau kebun istana Keraton Ngayogyakarta Hadiningrat, yang dapat dibandingkan dengan Kebun Raya Bogor sebagai kebun Istana Bogor. Kebun ini dibangun pada zaman Sultan Hamengku Buwono I (HB I) pada tahun 1758-1765/9. Awalnya, taman yang mendapat sebutan ""The Fragrant Garden"" ini memiliki luas lebih dari 10 hektare dengan sekitar 57 bangunan baik berupa gedung, kolam pemandian, jembatan gantung, kanal air, maupun danau buatan beserta pulau buatan dan lorong bawah air. Kebun yang digunakan secara efektif antara 1765-1812 ini pada mulanya membentang dari barat daya kompleks Kedhaton sampai tenggara kompleks Magangan. Namun saat ini, sisa-sisa bagian Taman Sari yang dapat dilihat hanyalah yang berada di barat daya kompleks Kedhaton saja.",Taman Hiburan,Yogyakarta,5000,4.6,,"{'lat': -7.8100673, 'lng': 110.3594581}",-7.8100673,110.3594581,,90,kampung wisata taman sari taman hibur taman sari yogyakarta taman sari keraton yogyakarta hanacaraka tamansari ngayogyakarta situs bekas taman kebun istana keraton ngayogyakarta hadiningrat dapat banding kebun raya bogor bagai kebun istana bogor kebun bangun zaman sultan hamengku buwono i hb i tahun 1758-1765 9 awal taman dapat sebut the fragrant garden milik luas lebih 10 hektare sekitar 57 bangun baik upa gedung kolam mandi jembatan gantung kanal air maupun danau buat pulau buat lorong bawah air kebun guna cara efektif 1765-1812 pada mula bentang barat daya kompleks kedhaton tenggara kompleks magang saat sisa taman sari dapat lihat yang di barat daya kompleks kedhaton
91,Situs Warungboto,"Situs Warungboto atau Pesanggrahan Rejawinangun adalah salah satu bangunan cagar budaya yang terletak di Jalan Veteran No.77, Kelurahan Warungboto, Kecamatan Umbulharjo, Kota Yogyakarta, Daerah Istimewa Yogyakarta. Pada awalnya, situs ini merupakan lokasi sebuah pesanggrahan dan pemandian.",Taman Hiburan,Yogyakarta,0,4.4,60.0,"{'lat': -7.8102685, 'lng': 110.3931513}",-7.8102685,110.3931513,,91,situs warungboto taman hibur situs warungboto pesanggrahan rejawinangun salah satu bangun cagar budaya letak jalan veteran no 77 lurah warungboto camat umbulharjo kota yogyakarta daerah istimewa yogyakarta awal situs rupa lokasi buah pesanggrahan mandi
92,Nol Kilometer Jl.Malioboro,"Walaupun hanyalah sebuah persimpangan, namun persimpangan Titik 0 km ini bukanlah sebuah persimpangan biasa. Karena di persimpangan ini bisa dibilang sebagai titik tengah kota Jogja karena lokasinya yang benar-benar di depan Keraton Yogyakarta sebagai pendiri daerah yang istimewa ini. Terlebih lagi di sebelah utaranya adalah pusat keramaian wisata Jogja yaitu Jalan Malioboro, sehingga jika anda sedang nongkrong di persimpangan Titik Nol Kilometer ini benar-benar merasakan titik tengah Jogja yang begitu syahdu. Titik 0 Kilometer Yogyakarta memang tempat favorit wisatawan untuk menghabiskan waktu, terlebih pada sore hari dan malam hari yang setiap hari selalu ramai disesaki oleh para wisatawan yang sekedar hanya untuk nongkrong di dudukan yang banyak disediakan di sekitar perempatan.",Taman Hiburan,Yogyakarta,0,4.7,45.0,"{'lat': -7.8013803, 'lng': 110.3647652}",-7.8013803,110.3647652,,92,nol kilometer jl malioboro taman hibur walaupun buah simpang simpang titik 0 km bukan buah simpang biasa simpang bisa bilang bagai titik tengah kota jogja lokasi benar depan keraton yogyakarta bagai diri daerah istimewa lebih belah utara pusat ramai wisata jogja jalan malioboro jika sedang nongkrong simpang titik nol kilometer benar rasa titik tengah jogja begitu syahdu titik 0 kilometer yogyakarta memang tempat favorit wisatawan habis waktu lebih sore hari malam hari tiap hari selalu ramai saki para wisatawan dar untuk nongkrong di duduk banyak sedia di sekitar empat
93,Gembira Loka Zoo,"Kebun Binatang Gembira Loka biasa disebut Gembira Loka Zoo (disingkat GL Zoo, bahasa Jawa: ꦏꦼꦧꦺꦴꦤ꧀​ꦫꦗ​ꦒꦼꦩ꧀ꦧꦶꦫ​ꦭꦺꦴꦏ, translit. Kêbon Raja Gêmbira Loka) adalah kebun binatang yang berada di Kota Yogyakarta. Berisi berbagai macam spesies dari belahan dunia, seperti orang utan, gajah asia, simpanse, harimau, dan lain sebagainya. Kebun Binatang Gembira Loka menjadi daya tarik tersendiri bagi para wisatawan Yogyakarta. Gembira Loka Zoo sempat rusak parah akibat gempa bumi Yogyakarta tahun 2006. Tetapi, setelah direnovasi Kebun Binatang Gembira Loka tetap dicari para wisatawan.",Cagar Alam,Yogyakarta,60000,4.5,,"{'lat': -7.806234399999999, 'lng': 110.3967977}",-7.8062344,110.3967977,,93,gembira loka zoo cagar alam kebun binatang gembira loka biasa sebut gembira loka zoo singkat gl zoo bahasa jawa translit k bon raja g mbira loka kebun binatang ada kota yogyakarta isi bagai macam spesies bahan dunia orang utan gajah asia simpanse harimau lain bagai kebun binatang gembira loka jadi daya tarik sendiri wisatawan yogyakarta gembira loka zoo sempat rusak parah akibat gempa bumi yogyakarta tahun 2006 telah renovasi kebun binatang gembira loka tetap cari para wisatawan
94,Sumur Gumuling,Sumur Gumuling adalah salah satu tempat untuk ibadah atau kegiatan agama pada masa lalu. Sumur Gumuling merupakan masjid pada zaman pemerintahan Sri Sultan Hamengkubuwana I dan II.,Taman Hiburan,Yogyakarta,7000,4.5,,"{'lat': -7.808791100000001, 'lng': 110.3591825}",-7.8087911,110.3591825,,94,sumur gumuling taman hibur sumur gumuling salah satu tempat ibadah giat agama masa lalu sumur gumuling rupa masjid zaman perintah sri sultan hamengkubuwana i ii
